[INFO 20230613 00:47:57] function optimized_RandomForestClassifier__KFoldCrossValidation() start
[INFO 20230613 00:47:59] function optimized_RandomForestClassifier__KFoldCrossValidation() end
[INFO 20230613 00:47:59] cost 1.921377420425415 s
[INFO 20230613 00:47:59] function optimized_KNeighborsClassifier__KFoldCrossValidation() start
[INFO 20230613 00:47:59] function optimized_KNeighborsClassifier__KFoldCrossValidation() end
[INFO 20230613 00:47:59] cost 0.4070284366607666 s
[INFO 20230613 00:47:59] function optimized_LogisticRegression__KFoldCrossValidation() start
[INFO 20230613 00:48:00] function optimized_LogisticRegression__KFoldCrossValidation() end
[INFO 20230613 00:48:00] cost 0.31807923316955566 s
[INFO 20230613 00:48:00] function optimized_SVC__KFoldCrossValidation() start
[INFO 20230613 00:48:04] function optimized_SVC__KFoldCrossValidation() end
[INFO 20230613 00:48:04] cost 4.427034378051758 s
[INFO 20230613 00:48:04] function optimized_DecisionTreeClassifier__KFoldCrossValidation() start
[INFO 20230613 00:48:04] function optimized_DecisionTreeClassifier__KFoldCrossValidation() end
[INFO 20230613 00:48:04] cost 0.2975344657897949 s
[INFO 20230613 00:48:04] function optimized_RandomForestClassifier__KFoldCrossValidation() start
[INFO 20230613 00:48:06] function optimized_RandomForestClassifier__KFoldCrossValidation() end
[INFO 20230613 00:48:06] cost 1.582984447479248 s
[INFO 20230613 00:48:06] function optimized_KNeighborsClassifier__KFoldCrossValidation() start
[INFO 20230613 00:48:06] function optimized_KNeighborsClassifier__KFoldCrossValidation() end
[INFO 20230613 00:48:06] cost 0.33298182487487793 s
[INFO 20230613 00:48:06] function optimizedModelsJob() end
[INFO 20230613 00:48:06] cost 2041.8163299560547 s
[INFO 20230613 00:48:06] function main() end
[INFO 20230613 00:48:06] cost 2062.6106662750244 s
